Administrador,Categoria,Código Negociação,Cotação,Data Base Último Provento,Data Pagamento Último Provento,Nome do Fundo,Vacância Financeira (Data Último Dado),Valor Último Rendimento,Yield de Distribuição 1 Mês,Valor IPO,Site Oficial,Data IPO,Gestor
BANCO J. SAFRA,Fundo de Fundos,JSAF11,"8,03+1,26%30/05/2025 18:30:00",30/05/2025,13/06/2025,JS Ativos Financeiros,N/D,"R$0,091","1,13%","R$10,00",https://www.safra.com.br/safra-asset/fundo-imobiliario/jsaf11.htm,25/11/2021,SAFRA ASSET
HEDGE INVESTMENTS,Fundo de Fundos,HFOF11,"6,04+0,32%30/05/2025 18:29:00",30/05/2025,13/06/2025,Hedge TOP FOFII 3,N/D,"R$0,056","0,93%","R$10,00",https://www.hedgeinvest.com.br/HFOF,28/02/2018,HEDGE INVESTMENTS
BTG PACTUAL,Fundo de Fundos,NAVT11,"72,00-0,06%30/05/2025 16:49:00",14/05/2025,21/05/2025,Navi Imobiliário Total Return,N/D,"R$0,700","0,97%","R$100,00",https://www.navi.com.br/,25/03/2021,NAVI REAL ESTATE SELECTION
BTG PACTUAL,Fundo de Fundos,SNFF11,"73,10-0,21%30/05/2025 18:34:00",15/05/2025,23/05/2025,Suno Fundo de Fundos,N/D,"R$0,720","0,98%","R$100,00",https://www.suno.com.br/asset/fundos/snff11/,03/05/2021,Suno Gestora de Recursos LTDA.
BRL TRUST,Fundo de Fundos,RVBI11,"66,29+2,01%30/05/2025 18:34:00",09/05/2025,16/05/2025,VBI Reits Multiestratégia,N/D,"R$0,700","1,06%","R$100,00",https://www.vbirealestate.com/fii_vbi_reits_fof,10/02/2020,PÁTRIA - VBI SECURITIES LTDA
BRL TRUST,Fundo de Fundos,RFOF11,"63,48+1,48%30/05/2025 16:23:00",30/05/2025,13/06/2025,RB Capital I Fundo de Fundos,N/D,"R$0,650","1,02%","R$100,00",https://www.rbasset.com/fundos/rb-capital-i-fundo-de-fundos-rfof11/,28/02/2020,RB CAPITAL
XP INVESTIMENTOS,Fundo de Fundos,XPSF11,"6,30+0,16%30/05/2025 18:36:00",30/05/2025,13/06/2025,XP Selection,N/D,"R$0,060","0,95%","R$10,00",https://www.xpasset.com.br/xpsf/,17/02/2019,XP Vista
BTG PACTUAL,Fundo de Fundos,ZAGH11,"10,02-3,47%30/05/2025 17:05:00",14/05/2025,21/05/2025,Zagros Multiestratégia,N/D,"R$0,070","0,70%","R$10,00",https://www.btgpactual.com/,13/03/2024,ZAGROS CAPITAL
INTRAG,Fundo de Fundos,TMPS11,"82,50+1,12%30/05/2025 16:49:00",30/05/2025,11/06/2025,Itaú Tempus,N/D,"R$0,820","0,99%","R$100,00",https://www.itauassetmanagement.com.br/fundos/credito/tmps11/,08/05/2023,ITAÚ UNIBANCO
BANCO DAYCOVAL,Fundo de Fundos,DVFF11,"6,46+0,31%30/05/2025 16:35:00",08/05/2025,15/05/2025,Devant Fundo de Fundos,N/D,"R$0,060","0,93%","R$10,00",https://www.devantasset.com.br/fundos/imobiliarios/devant-fundo-de-fundos-imobiliarios/,23/07/2021,DEVANT ASSET
CAIXA ECONOMICA FEDERAL,Fundo de Fundos,CXCI11,"69,69-0,17%30/05/2025 16:31:00",08/05/2025,15/05/2025,Caixa Carteira Imobiliária,N/D,"R$0,750","1,08%","R$100,00",https://www.caixa.gov.br/fundos-investimento/imobiliarios/fii-caixa-carteira-imobiliaria/Paginas/default.aspx,22/03/2022,CAIXA ASSET
BB GESTAO DE RECURSOS,Fundo de Fundos,BBFO11,"63,98+0,76%30/05/2025 18:25:00",30/05/2025,13/06/2025,BB Fundo de Fundos,N/D,"R$0,750","1,17%","R$100,00",https://www.bb.com.br/pbb/pagina-inicial/bb-dtvm/fundos#/,28/12/2020,BB GESTAO DE RECURSOS
INTER DTVM,Fundo de Fundos,ITIP11,"67,69+0,77%30/05/2025 17:00:00",30/05/2025,13/06/2025,Inter Teva Índice de Papel,N/D,"R$0,800","1,18%","R$100,00",https://www.interdtvm.com.br/fiis/fundos/ifid/,24/02/2021,INTER
GENIAL INVESTIMENTOS,Fundo de Fundos,BPFF11,"60,57-0,05%30/05/2025 18:25:00",30/05/2025,06/06/2025,Brasil Plural Absoluto Fundo de Fundos,N/D,"R$0,700","1,16%","R$100,00",https://www.pluralgestao.com/pt-br/Fund/Detail/12,15/04/2013,BRASIL PLURAL
BANCO BRADESCO,Fundo de Fundos,BCIA11,"86,10-0,23%30/05/2025 18:34:00",30/05/2025,30/06/2025,Bradesco Carteira Imobiliária Ativa,N/D,"R$0,840","0,98%","R$100,00",http://banco.bradesco/html/classic/produtos-servicos/investimentos/fundos/carteira-imobiliaria-ativa-FII.shtm,25/05/2015,BRAM – Bradesco
BRL TRUST,Fundo de Fundos,VIFI11,"6,96-6,7%03/02/2025 12:59:00",19/03/2025,26/03/2025,Vinci Instrumentos Financeiros,N/D,"R$0,070","1,01%","R$10,00",https://www.vincifii.com/nossos-fundos/vinci-instrumentos-financeiros-fii-vifi11/,21/02/2020,VINCI REAL ESTATE
BRL TRUST,Fundo de Fundos,KISU11,"7,10+0,42%30/05/2025 18:36:00",30/05/2025,13/06/2025,Kilima FoF Suno 30,N/D,"R$0,070","0,99%","R$10,00",https://kilima.com.br/fundos,08/10/2020,KILIMA
BANCO GENIAL,Fundo de Fundos,HGFF11,"71,96+0,1%30/05/2025 17:00:00",30/05/2025,13/06/2025,Pátria Imobiliário FOF,N/D,"R$0,680","0,94%","R$100,00",https://realestate.patria.com/central-de-downloads/relatorios-periodicos/hgff/,26/08/2019,PATRIA INVESTIMENTOS
BANCO DAYCOVAL,Fundo de Fundos,PMFO11,"87,45+1,83%30/05/2025 15:46:00",08/05/2025,15/05/2025,Speciale Real Estate Fund of Funds,N/D,"R$0,840","0,96%","R$100,00",,24/08/2023,PORTOFINO GESTÃO
RIO BRAVO,Fundo de Fundos,RBFF11,"53,27+0,47%30/05/2025 18:25:00",30/05/2025,13/06/2025,Rio Bravo Fundo de Fundos,N/D,"R$0,510","0,96%","R$100,00",https://www.riobravo.com.br/fundo/rio-bravo-fundo-de-fundos-de-investimento-imobiliario,31/05/2013,RIO BRAVO
CAIXA ECONOMICA FEDERAL,Fundo de Fundos,CXRI11,"63,22-1,69%30/05/2025 17:05:00",02/05/2025,13/05/2025,Caixa Rio Bravo Fundo de Fundos,N/D,"R$0,590","0,93%","R$100,00",https://www.riobravo.com.br/fundos/caixa-rio-bravo-fundo-de-fundos-de-investimento-imobiliario-fii/,12/12/2013,CAIXA E RIO BRAVO
INTRAG,Fundo de Fundos,KFOF11,"83,12+0,65%30/05/2025 18:29:00",30/05/2025,13/06/2025,Kinea Fundo de Fundos,N/D,"R$0,750","0,90%","R$100,00",http://www.kinea.com.br/fundos/fundo-imobiliario-kinea-fof-fii-kfof11/,22/01/2019,KINEA
INTER DTVM,Fundo de Fundos,ITIT11,"71,37+0,37%30/05/2025 16:41:00",30/05/2025,13/06/2025,Inter Teva Índice de Tijolo,N/D,"R$0,620","0,87%","R$100,00",https://www.bancointer.com.br/pra-voce/investimentos/fundos-de-investimento/ifi-e-inter-fundo-de-investimento-imobiliario/,04/09/2020,INTER
CAIXA ECONOMICA FEDERAL,Fundo de Fundos,CRFF11,"75,44-0,04%30/05/2025 12:25:00",02/05/2025,13/05/2025,Caixa Rio Bravo Fundo de Fundos II,N/D,"R$0,610","0,81%","R$100,00",http://www.caixa.gov.br/fundos-investimento/imobiliarios/caixa-rio-bravo-fundo-de-fundos-de-investimento-imobiliario-II/Paginas/default.aspx,17/05/2019,CAIXA E RIO BRAVO
BTG PACTUAL,Fundo de Fundos,RBRF11,"7,09+0,85%30/05/2025 18:38:00",12/05/2025,19/05/2025,RBR Alpha Multiestratégia Real Estate,N/D,"R$0,060","0,85%","R$10,00",https://www.rbrasset.com.br/fundos/rbr-alpha-rbrf11/,14/09/2017,RBR GESTÃO
BRL TRUST,Fundo de Fundos,ISCJ11,"96,19+0,22%26/05/2025 10:24:00",23/05/2025,30/05/2025,Invista SCJ,N/D,"R$0,570","0,59%","R$100,00",,N/D,INVISTA ASSET MANAGEMENT LTDA.
BTG PACTUAL,Fundo de Fundos,JCIN11,"150,000%27/05/2025 15:57:00",14/05/2025,21/05/2025,FOF JHSF Capital Institucional,N/D,"R$0,550","0,37%","R$100,00",https://www.btgpactual.com/,21/06/2024,JHSF CAPITAL LTDA.
BEM DTVM,Fundo de Fundos,JBFO11,"82,01+1,19%17/04/2024 10:57:00",30/05/2025,13/06/2025,JBFO FOF,N/D,"R$0,043","0,05%","R$100,00",,03/08/2020,JULIUS BAER FAMILY OFFICE
BTG PACTUAL,Fundo de Fundos,JCCJ11,"159,50+0,2%15/05/2025 16:11:00",14/05/2025,21/05/2025,JHSF Capital Cidade Jardim,N/D,"R$0,420","0,26%","R$100,00",,12/06/2023,JHSF CAPITAL LTDA.
BTG PACTUAL,Fundo de Fundos,CPFF11,"69,90+0,64%17/03/2025 17:05:00",30/04/2025,30/04/2025,Capitânia REIT FOF,N/D,"R$0,000","0,00%","R$100,00",https://capitania.net/cpff11/,02/01/2020,CAPITÂNIA S.A.
BRL TRUST,Fundo de Fundos,RCFF11,"98,00+10,11%21/05/2025 10:53:00",01/05/2025,01/04/2025,RBR Desenvolvimento Comercial Feeder FOF,N/D,"R$0,000","0,00%","R$100,00",https://www.brltrust.com.br/?administracao=rbr-desenvolvimento-comercial-feeder-fof-fii,22/06/2020,RBR GESTÃO
BTG PACTUAL,Fundo de Fundos,RECX11,"67,99+1,96%08/10/2024 16:47:00",05/11/2024,12/11/2024,REC Fundo de Fundos,N/D,"R$0,000","0,00%","R$100,00",http://rec-gestao.com/fundos/recx11,19/02/2021,REC
INTRAG,Fundo de Fundos,KNPR11,N/D,30/04/2025,30/04/2025,Kinea Premium Properties FII,N/D,"R$0,000",,"R$100,00",https://www.kinea.com.br/fundos/fundo-imobiliario-kinea-premium-properties-knpr11/,N/D,KINEA
BANCO DAYCOVAL,Fundo de Fundos,NIVT11,N/D,,,Navi Imobiliário Total Return 2,N/D,,,"R$0,00",,N/D,NAVI REAL ESTATE SELECTION
PLANNER CORRETORA,Fundo de Fundos,FLNR11,N/D,25/05/2025,25/05/2025,Floriano,N/D,"R$0,000",,"R$1.000,00",https://www.planner.com.br/,05/06/2024,MULTIPLICA CAPITAL
